"ID" "Year" "LAI_Q75" "Municipality"
"Skuodas.2006" 23 2006 2.84421112372304 "Skuodas"
"Sakiai.2006" 24 2006 3.34295445018863 "Sakiai"
"Marijampole.2006" 25 2006 3.27812584118439 "Marijampole"
"Vilkaviskis.2006" 26 2006 2.9208013312852 "Vilkaviskis"
"Birzai.2006" 27 2006 3.09064372351308 "Birzai"
"Kupiskis.2006" 28 2006 2.98915463297232 "Kupiskis"
"Panevezys.2006" 29 2006 3.11569652234222 "Panevezys"
"Pasvalys.2006" 30 2006 2.68446206780799 "Pasvalys"
"Rokiskis.2006" 31 2006 3.21831123007665 "Rokiskis"
"Silale.2006" 32 2006 3.64206994328922 "Silale"
"Jurbarkas.2006" 33 2006 3.45483847810481 "Jurbarkas"
"Taurage.2006" 34 2006 3.76170605612999 "Taurage"
"Mazeikiai.2006" 35 2006 3.03425154815289 "Mazeikiai"
"Plunge.2006" 36 2006 3.73205334190231 "Plunge"
"Telsiai.2006" 37 2006 3.44061599150357 "Telsiai"
"Anyksciai.2006" 38 2006 3.20425170068027 "Anyksciai"
"Ignalina.2006" 39 2006 3.57749800478851 "Ignalina"
"Moletai.2006" 40 2006 3.27111646520745 "Moletai"
"Utena.2006" 41 2006 3.501419054572 "Utena"
"Zarasai.2006" 42 2006 3.68367328355491 "Zarasai"
"Salcininkai.2006" 43 2006 3.27986004734717 "Salcininkai"
"Sirvintos.2006" 44 2006 3.58144922164566 "Sirvintos"
"Svencionys.2006" 45 2006 3.43879658875553 "Svencionys"
"Trakai.2006" 46 2006 3.4802236859267 "Trakai"
"Ukmerge.2006" 47 2006 3.47938324282389 "Ukmerge"
"Vilnius.2006" 48 2006 3.42945758672434 "Vilnius"
"Siauliai.2007" 1 2007 3.96134731232623 "Siauliai"
"Akmene.2007" 2 2007 3.73023721503389 "Akmene"
"Joniskis.2007" 3 2007 3.52726299124604 "Joniskis"
"Kelme.2007" 4 2007 4.21328571428571 "Kelme"
"Pakruojis.2007" 5 2007 3.72141981363413 "Pakruojis"
"Radviliskis.2007" 6 2007 3.69518129127915 "Radviliskis"
