"ID" "Year" "LAI_Med" "Municipality"
"Salcininkai.2004" 43 2004 2.68342349840477 "Salcininkai"
"Sirvintos.2004" 44 2004 2.78427270489786 "Sirvintos"
"Svencionys.2004" 45 2004 2.61880990912486 "Svencionys"
"Trakai.2004" 46 2004 2.74031333588078 "Trakai"
"Ukmerge.2004" 47 2004 2.79832410824108 "Ukmerge"
"Vilnius.2004" 48 2004 2.75514662133447 "Vilnius"
"Siauliai.2005" 1 2005 2.66583285957931 "Siauliai"
"Akmene.2005" 2 2005 2.39688205128205 "Akmene"
"Joniskis.2005" 3 2005 2.20669269380926 "Joniskis"
"Kelme.2005" 4 2005 2.76066019417476 "Kelme"
"Pakruojis.2005" 5 2005 2.30753391076973 "Pakruojis"
"Radviliskis.2005" 6 2005 2.44795918367347 "Radviliskis"
"Alytus.2005" 7 2005 2.79969670710572 "Alytus"
"Druskininkai.2005" 8 2005 2.05531914893617 "Druskininkai"
"Lazdijai.2005" 9 2005 2.66861730360934 "Lazdijai"
"Varena.2005" 10 2005 2.77679634262055 "Varena"
"Birstonas.2005" 11 2005 2.4825 "Birstonas"
"Jonava.2005" 12 2005 2.85072563925363 "Jonava"
"Kedainiai.2005" 13 2005 2.61153045288912 "Kedainiai"
"Kaisiadorys.2005" 14 2005 3.09457886119702 "Kaisiadorys"
"Kaunas.2005" 15 2005 2.61306364339088 "Kaunas"
"Prienai.2005" 16 2005 2.98530345471522 "Prienai"
"Raseiniai.2005" 17 2005 2.53524430871738 "Raseiniai"
"Silute.2005" 18 2005 2.86245672808487 "Silute"
"Klaipeda.2005" 19 2005 2.60871477439322 "Klaipeda"
"Kretinga.2005" 20 2005 2.68006121556624 "Kretinga"
"Neringa.2005" 21 2005 1.99488888888889 "Neringa"
"Palanga.2005" 22 2005 2.40602409638554 "Palanga"
"Skuodas.2005" 23 2005 2.41947344530186 "Skuodas"
"Sakiai.2005" 24 2005 2.70785595105673 "Sakiai"
"Marijampole.2005" 25 2005 2.83211669108832 "Marijampole"
"Vilkaviskis.2005" 26 2005 2.57127569220316 "Vilkaviskis"
"Birzai.2005" 27 2005 2.8317751565458 "Birzai"
"Kupiskis.2005" 28 2005 2.736053471668 "Kupiskis"
"Panevezys.2005" 29 2005 2.71326550577186 "Panevezys"
"Pasvalys.2005" 30 2005 2.37457627118644 "Pasvalys"
"Rokiskis.2005" 31 2005 2.90704819277108 "Rokiskis"
"Silale.2005" 32 2005 3.22164559350821 "Silale"
"Jurbarkas.2005" 33 2005 2.80639243227748 "Jurbarkas"
"Taurage.2005" 34 2005 3.09048404840484 "Taurage"
"Mazeikiai.2005" 35 2005 2.26004623791509 "Mazeikiai"
"Plunge.2005" 36 2005 3.18801831595014 "Plunge"
"Telsiai.2005" 37 2005 2.87246939384891 "Telsiai"
"Anyksciai.2005" 38 2005 2.8144649535529 "Anyksciai"
"Ignalina.2005" 39 2005 3.00838895631068 "Ignalina"
"Moletai.2005" 40 2005 2.86155778894472 "Moletai"
"Utena.2005" 41 2005 3.18889683532988 "Utena"
"Zarasai.2005" 42 2005 3.18725973805069 "Zarasai"
"Salcininkai.2005" 43 2005 2.80796226938549 "Salcininkai"
"Sirvintos.2005" 44 2005 2.98011321683485 "Sirvintos"
"Svencionys.2005" 45 2005 3.00804182746172 "Svencionys"
"Trakai.2005" 46 2005 2.9610495478283 "Trakai"
"Ukmerge.2005" 47 2005 2.94869311193112 "Ukmerge"
"Vilnius.2005" 48 2005 2.81573310667233 "Vilnius"
"Siauliai.2006" 1 2006 2.3413644115975 "Siauliai"
"Akmene.2006" 2 2006 2.36459487179487 "Akmene"
"Joniskis.2006" 3 2006 1.75359732292248 "Joniskis"
"Kelme.2006" 4 2006 2.27374757281553 "Kelme"
"Pakruojis.2006" 5 2006 1.74914201666939 "Pakruojis"
"Radviliskis.2006" 6 2006 1.99143394199785 "Radviliskis"
"Alytus.2006" 7 2006 2.45606585788562 "Alytus"
"Druskininkai.2006" 8 2006 2.05 "Druskininkai"
"Lazdijai.2006" 9 2006 2.24179936305732 "Lazdijai"
"Varena.2006" 10 2006 2.65329077891831 "Varena"
"Birstonas.2006" 11 2006 2.10125 "Birstonas"
"Jonava.2006" 12 2006 2.43289564616448 "Jonava"
"Kedainiai.2006" 13 2006 2.11764705882353 "Kedainiai"
"Kaisiadorys.2006" 14 2006 2.681589958159 "Kaisiadorys"
"Kaunas.2006" 15 2006 2.22604998711672 "Kaunas"
"Prienai.2006" 16 2006 2.46420168067227 "Prienai"
"Raseiniai.2006" 17 2006 2.11007773459189 "Raseiniai"
"Silute.2006" 18 2006 2.47824678950307 "Silute"
"Klaipeda.2006" 19 2006 2.30933376771461 "Klaipeda"
"Kretinga.2006" 20 2006 2.35791429820726 "Kretinga"
"Neringa.2006" 21 2006 1.93311111111111 "Neringa"
"Palanga.2006" 22 2006 2.24915662650602 "Palanga"
"Skuodas.2006" 23 2006 1.91243758511121 "Skuodas"
"Sakiai.2006" 24 2006 2.20948275862069 "Sakiai"
"Marijampole.2006" 25 2006 2.34072199280671 "Marijampole"
"Vilkaviskis.2006" 26 2006 1.95077288941736 "Vilkaviskis"
"Birzai.2006" 27 2006 2.35494393476045 "Birzai"
"Kupiskis.2006" 28 2006 2.33922585794094 "Kupiskis"
"Panevezys.2006" 29 2006 2.27403639209548 "Panevezys"
"Pasvalys.2006" 30 2006 1.67162275549589 "Pasvalys"
"Rokiskis.2006" 31 2006 2.45151807228916 "Rokiskis"
"Silale.2006" 32 2006 2.70413285525571 "Silale"
"Jurbarkas.2006" 33 2006 2.48843342410778 "Jurbarkas"
"Taurage.2006" 34 2006 2.80423542354235 "Taurage"
"Mazeikiai.2006" 35 2006 2.05970996216898 "Mazeikiai"
"Plunge.2006" 36 2006 2.75314169422539 "Plunge"
"Telsiai.2006" 37 2006 2.46413854882054 "Telsiai"
"Anyksciai.2006" 38 2006 2.47876704065629 "Anyksciai"
"Ignalina.2006" 39 2006 2.63871359223301 "Ignalina"
"Moletai.2006" 40 2006 2.44745603015075 "Moletai"
"Utena.2006" 41 2006 2.75217235830502 "Utena"
