"Municipality" "Year" "ID" "LAI_Avg" "LAI_Med" "LAI_Q75" "LAI_Q90" "LAI_Max" "Forest_Coverage"
"100" "Jurbarkas" 2004 33 3.00259836665687 2.76631790167694 3.56574300071788 4.18525053721234 4.9508111988514 38
"101" "Jurbarkas" 2005 33 2.99269152814164 2.80639243227748 3.67155419956927 4.32013926499881 5.08801148600144 38.2
"102" "Jurbarkas" 2006 33 2.75999366044341 2.48843342410778 3.45483847810481 4.17419382397938 4.95791816223977 38.2
"103" "Jurbarkas" 2007 33 3.34278155066597 3.00709473985954 3.97620603015075 4.70929792087881 5.47629576453697 38.2
"104" "Jurbarkas" 2008 33 2.81861000134905 2.68275763222015 3.3245872218234 3.87785929257461 4.50592964824121 38.1
"105" "Jurbarkas" 2009 33 3.00317025966775 2.77559122832163 3.62215003589375 4.26485714244911 4.99395549174444 38.1
"106" "Jurbarkas" 2010 33 3.41676028605677 3.25968181166691 4.10731155778894 4.75787365071994 5.48435032304379 38.1
"107" "Jurbarkas" 2011 33 3.0765237901207 2.94868854808657 3.6963424264178 4.27696481975821 4.96831299353912 38.1
"108" "Jurbarkas" 2012 33 3.29072056570693 3.10141894797191 3.94252692031586 4.5878090433448 5.35790380473798 38.1
"109" "Jurbarkas" 2013 33 3.23467905533089 2.96256270603411 3.92183058147882 4.69664177903492 5.54265613783202 38.1
"110" "Jurbarkas" 2014 33 3.21910291682474 3.04309875304572 3.96007896625987 4.64453984049012 5.38562814070352 38
"111" "Kaisiadorys" 2004 14 3.00781641329623 2.86427142077497 3.58444874631268 4.13961835922041 4.85855457227139 31.4
"112" "Kaisiadorys" 2005 14 3.38569993673976 3.09457886119702 4.15160859144543 4.80580383985795 5.49760324483776 31.5
"113" "Kaisiadorys" 2006 14 2.91866364389871 2.681589958159 3.68028207964602 4.28262537111223 4.93622787610619 31.5
"114" "Kaisiadorys" 2007 14 3.27554771786105 2.98812079315991 3.9161320058997 4.6577175530888 5.41766224188791 31.5
