"ID" "Year" "LAI_Max" "Municipality"
"Plunge.2004" 36 2004 5.06866323907455 "Plunge"
"Telsiai.2004" 37 2004 4.94401456531634 "Telsiai"
"Anyksciai.2004" 38 2004 4.99313654033042 "Anyksciai"
"Ignalina.2004" 39 2004 4.94927374301676 "Ignalina"
"Moletai.2004" 40 2004 4.86587716432538 "Moletai"
"Utena.2004" 41 2004 5.21131593356452 "Utena"
"Zarasai.2004" 42 2004 5.02892005099253 "Zarasai"
"Salcininkai.2004" 43 2004 4.68055981061134 "Salcininkai"
"Sirvintos.2004" 44 2004 5.12144798616259 "Sirvintos"
"Svencionys.2004" 45 2004 4.66543272267846 "Svencionys"
"Trakai.2004" 46 2004 4.55540628668319 "Trakai"
"Ukmerge.2004" 47 2004 4.94439100077579 "Ukmerge"
"Vilnius.2004" 48 2004 4.81445846941478 "Vilnius"
"Siauliai.2005" 1 2005 5.12016913809082 "Siauliai"
"Akmene.2005" 2 2005 4.71604025467242 "Akmene"
"Joniskis.2005" 3 2005 5.19707580555038 "Joniskis"
"Kelme.2005" 4 2005 5.29622077922078 "Kelme"
"Pakruojis.2005" 5 2005 5.22514304397581 "Pakruojis"
"Radviliskis.2005" 6 2005 5.0231432807656 "Radviliskis"
"Alytus.2005" 7 2005 5.006326863239 "Alytus"
"Druskininkai.2005" 8 2005 3.60568181818182 "Druskininkai"
"Lazdijai.2005" 9 2005 4.71183847850055 "Lazdijai"
"Varena.2005" 10 2005 4.79107127392396 "Varena"
"Birstonas.2005" 11 2005 4.08875 "Birstonas"
"Jonava.2005" 12 2005 5.27455263769463 "Jonava"
"Kedainiai.2005" 13 2005 5.41074272288213 "Kedainiai"
"Kaisiadorys.2005" 14 2005 5.49760324483776 "Kaisiadorys"
"Kaunas.2005" 15 2005 5.18877139279254 "Kaunas"
"Prienai.2005" 16 2005 5.33203828828829 "Prienai"
"Raseiniai.2005" 17 2005 5.04903631284916 "Raseiniai"
"Silute.2005" 18 2005 5.1850367478181 "Silute"
"Klaipeda.2005" 19 2005 4.53575809199319 "Klaipeda"
"Kretinga.2005" 20 2005 4.73232900813723 "Kretinga"
"Neringa.2005" 21 2005 3.24833333333333 "Neringa"
"Palanga.2005" 22 2005 4.59002849002849 "Palanga"
"Skuodas.2005" 23 2005 4.57116912599319 "Skuodas"
"Sakiai.2005" 24 2005 5.55477155232639 "Sakiai"
"Marijampole.2005" 25 2005 5.42995962314939 "Marijampole"
"Vilkaviskis.2005" 26 2005 5.54959890766342 "Vilkaviskis"
"Birzai.2005" 27 2005 5.11511033172585 "Birzai"
"Kupiskis.2005" 28 2005 4.99638989169675 "Kupiskis"
"Panevezys.2005" 29 2005 5.15374021599128 "Panevezys"
"Pasvalys.2005" 30 2005 5.25226586102719 "Pasvalys"
"Rokiskis.2005" 31 2005 5.14534614916657 "Rokiskis"
"Silale.2005" 32 2005 5.73177693761815 "Silale"
"Jurbarkas.2005" 33 2005 5.08801148600144 "Jurbarkas"
"Taurage.2005" 34 2005 5.56198301329394 "Taurage"
"Mazeikiai.2005" 35 2005 4.26307922272048 "Mazeikiai"
"Plunge.2005" 36 2005 5.43820051413882 "Plunge"
"Telsiai.2005" 37 2005 5.1490365650129 "Telsiai"
"Anyksciai.2005" 38 2005 5.20817541302235 "Anyksciai"
"Ignalina.2005" 39 2005 5.47926576217079 "Ignalina"
"Moletai.2005" 40 2005 5.30984972231297 "Moletai"
"Utena.2005" 41 2005 5.65342215732798 "Utena"
"Zarasai.2005" 42 2005 5.56479694044801 "Zarasai"
"Salcininkai.2005" 43 2005 5.15726221974655 "Salcininkai"
"Sirvintos.2005" 44 2005 5.45744996293551 "Sirvintos"
"Svencionys.2005" 45 2005 5.13091598231207 "Svencionys"
"Trakai.2005" 46 2005 5.14048519629581 "Trakai"
"Ukmerge.2005" 47 2005 5.3199689681924 "Ukmerge"
"Vilnius.2005" 48 2005 5.19553358637126 "Vilnius"
"Siauliai.2006" 1 2006 4.63893651529194 "Siauliai"
"Akmene.2006" 2 2006 4.49258574655987 "Akmene"
"Joniskis.2006" 3 2006 4.79428198919724 "Joniskis"
"Kelme.2006" 4 2006 4.92718181818182 "Kelme"
"Pakruojis.2006" 5 2006 4.14505476540788 "Pakruojis"
"Radviliskis.2006" 6 2006 4.64483083973581 "Radviliskis"
"Alytus.2006" 7 2006 4.38341976589124 "Alytus"
"Druskininkai.2006" 8 2006 3.52386363636364 "Druskininkai"
"Lazdijai.2006" 9 2006 3.98413726571114 "Lazdijai"
"Varena.2006" 10 2006 4.33712652637049 "Varena"
"Birstonas.2006" 11 2006 4.25375 "Birstonas"
"Jonava.2006" 12 2006 4.68178015338136 "Jonava"
"Kedainiai.2006" 13 2006 4.81947526432581 "Kedainiai"
"Kaisiadorys.2006" 14 2006 4.93622787610619 "Kaisiadorys"
"Kaunas.2006" 15 2006 4.73086127730625 "Kaunas"
"Prienai.2006" 16 2006 4.75790165165165 "Prienai"
"Raseiniai.2006" 17 2006 4.75168994413408 "Raseiniai"
"Silute.2006" 18 2006 4.85475424896647 "Silute"
"Klaipeda.2006" 19 2006 4.26698466780238 "Klaipeda"
"Kretinga.2006" 20 2006 4.36089729491973 "Kretinga"
"Neringa.2006" 21 2006 2.88357142857143 "Neringa"
"Palanga.2006" 22 2006 4.35612535612536 "Palanga"
"Skuodas.2006" 23 2006 4.13466515323496 "Skuodas"
"Sakiai.2006" 24 2006 5.03113036188347 "Sakiai"
"Marijampole.2006" 25 2006 4.74006729475101 "Marijampole"
"Vilkaviskis.2006" 26 2006 4.58139614268647 "Vilkaviskis"
"Birzai.2006" 27 2006 4.29028204004092 "Birzai"
"Kupiskis.2006" 28 2006 4.22589249899719 "Kupiskis"
"Panevezys.2006" 29 2006 4.46398494005747 "Panevezys"
"Pasvalys.2006" 30 2006 4.13533064786841 "Pasvalys"
"Rokiskis.2006" 31 2006 4.39715293831366 "Rokiskis"
"Silale.2006" 32 2006 5.52833648393195 "Silale"
"Jurbarkas.2006" 33 2006 4.95791816223977 "Jurbarkas"
"Taurage.2006" 34 2006 5.35389586410635 "Taurage"
"Mazeikiai.2006" 35 2006 4.33254324151185 "Mazeikiai"
"Plunge.2006" 36 2006 5.16859897172237 "Plunge"
"Telsiai.2006" 37 2006 4.88273403125474 "Telsiai"
"Anyksciai.2006" 38 2006 4.44465500485909 "Anyksciai"
"Ignalina.2006" 39 2006 4.83470071827614 "Ignalina"
"Moletai.2006" 40 2006 4.44884024828487 "Moletai"
"Utena.2006" 41 2006 4.75928089067348 "Utena"
"Zarasai.2006" 42 2006 4.88561282097979 "Zarasai"
"Salcininkai.2006" 43 2006 4.42214176298566 "Salcininkai"
"Sirvintos.2006" 44 2006 4.84351371386212 "Sirvintos"
"Svencionys.2006" 45 2006 4.57121920404296 "Svencionys"
"Trakai.2006" 46 2006 4.47019694795878 "Trakai"
"Ukmerge.2006" 47 2006 4.66916989914663 "Ukmerge"
"Vilnius.2006" 48 2006 4.56822314414335 "Vilnius"
"Siauliai.2007" 1 2007 5.55498146431881 "Siauliai"
"Akmene.2007" 2 2007 5.41123433970014 "Akmene"
"Joniskis.2007" 3 2007 5.44445893089961 "Joniskis"
"Kelme.2007" 4 2007 5.79463636363636 "Kelme"
"Pakruojis.2007" 5 2007 5.58020271374857 "Pakruojis"
"Radviliskis.2007" 6 2007 5.43488340746731 "Radviliskis"
"Alytus.2007" 7 2007 4.96360942361831 "Alytus"
"Druskininkai.2007" 8 2007 3.58522727272727 "Druskininkai"
"Lazdijai.2007" 9 2007 4.41426405733186 "Lazdijai"
"Varena.2007" 10 2007 4.62783406945527 "Varena"
"Birstonas.2007" 11 2007 4.285 "Birstonas"
"Jonava.2007" 12 2007 5.28961189867534 "Jonava"
"Kedainiai.2007" 13 2007 5.41833964234434 "Kedainiai"
"Kaisiadorys.2007" 14 2007 5.41766224188791 "Kaisiadorys"
"Kaunas.2007" 15 2007 5.14727323316639 "Kaunas"
"Prienai.2007" 16 2007 5.03727477477477 "Prienai"
"Raseiniai.2007" 17 2007 5.43786312849162 "Raseiniai"
"Silute.2007" 18 2007 5.55969223702343 "Silute"
"Klaipeda.2007" 19 2007 5.10362862010221 "Klaipeda"
"Kretinga.2007" 20 2007 5.39296239278645 "Kretinga"
"Neringa.2007" 21 2007 3.28261904761905 "Neringa"
"Palanga.2007" 22 2007 5.14643874643875 "Palanga"
"Skuodas.2007" 23 2007 5.40267877412032 "Skuodas"
"Sakiai.2007" 24 2007 5.33364538214336 "Sakiai"
"Marijampole.2007" 25 2007 5.23183041722746 "Marijampole"
"Vilkaviskis.2007" 26 2007 5.48637992831541 "Vilkaviskis"
"Birzai.2007" 27 2007 5.08420283501388 "Birzai"
"Kupiskis.2007" 28 2007 5.15194544725231 "Kupiskis"
"Panevezys.2007" 29 2007 5.20740116912712 "Panevezys"
"Pasvalys.2007" 30 2007 5.57165156092648 "Pasvalys"
"Rokiskis.2007" 31 2007 5.28048424382528 "Rokiskis"
"Silale.2007" 32 2007 6.04293005671077 "Silale"
"Jurbarkas.2007" 33 2007 5.47629576453697 "Jurbarkas"
"Taurage.2007" 34 2007 5.82669867060561 "Taurage"
"Mazeikiai.2007" 35 2007 5.2034379671151 "Mazeikiai"
"Plunge.2007" 36 2007 5.84699228791774 "Plunge"
"Telsiai.2007" 37 2007 5.67598240024275 "Telsiai"
"Anyksciai.2007" 38 2007 5.38669825072886 "Anyksciai"
"Ignalina.2007" 39 2007 5.27090183559457 "Ignalina"
"Moletai.2007" 40 2007 5.45276053577262 "Moletai"
"Utena.2007" 41 2007 5.67236722029567 "Utena"
"Zarasai.2007" 42 2007 5.52269167729011 "Zarasai"
"Salcininkai.2007" 43 2007 5.06446177412617 "Salcininkai"
"Sirvintos.2007" 44 2007 5.69888806523351 "Sirvintos"
"Svencionys.2007" 45 2007 4.98231430015159 "Svencionys"
"Trakai.2007" 46 2007 5.12690752575975 "Trakai"
"Ukmerge.2007" 47 2007 5.48938712179984 "Ukmerge"
"Vilnius.2007" 48 2007 5.27491393768206 "Vilnius"
"Siauliai.2008" 1 2008 4.85936051899907 "Siauliai"
"Akmene.2008" 2 2008 4.67948243992606 "Akmene"
"Joniskis.2008" 3 2008 5.10759918048054 "Joniskis"
"Kelme.2008" 4 2008 4.77602597402597 "Kelme"
"Pakruojis.2008" 5 2008 4.9029589668138 "Pakruojis"
"Radviliskis.2008" 6 2008 4.5661814260682 "Radviliskis"
"Alytus.2008" 7 2008 4.4217958216032 "Alytus"
"Druskininkai.2008" 8 2008 3.58409090909091 "Druskininkai"
"Lazdijai.2008" 9 2008 4.09130374862183 "Lazdijai"
"Varena.2008" 10 2008 4.14927686845068 "Varena"
"Birstonas.2008" 11 2008 3.8925 "Birstonas"
"Jonava.2008" 12 2008 5.03899604926795 "Jonava"
"Kedainiai.2008" 13 2008 4.87857981986686 "Kedainiai"
"Kaisiadorys.2008" 14 2008 4.97957227138643 "Kaisiadorys"
"Kaunas.2008" 15 2008 4.7516694490818 "Kaunas"
"Prienai.2008" 16 2008 4.66131756756757 "Prienai"
"Raseiniai.2008" 17 2008 4.32643854748603 "Raseiniai"
"Silute.2008" 18 2008 4.75353697749196 "Silute"
"Klaipeda.2008" 19 2008 4.06928449744463 "Klaipeda"
"Kretinga.2008" 20 2008 4.36175500329888 "Kretinga"
"Neringa.2008" 21 2008 3.03714285714286 "Neringa"
"Palanga.2008" 22 2008 4.4019943019943 "Palanga"
"Skuodas.2008" 23 2008 4.39775255391601 "Skuodas"
"Sakiai.2008" 24 2008 4.75310884448791 "Sakiai"
"Marijampole.2008" 25 2008 4.64567967698519 "Marijampole"
"Vilkaviskis.2008" 26 2008 4.53533026113671 "Vilkaviskis"
"Birzai.2008" 27 2008 4.45652491597253 "Birzai"
"Kupiskis.2008" 28 2008 4.55218612113919 "Kupiskis"
"Panevezys.2008" 29 2008 4.83184385217477 "Panevezys"
"Pasvalys.2008" 30 2008 4.51532393420611 "Pasvalys"
"Rokiskis.2008" 31 2008 4.59714077138338 "Rokiskis"
"Silale.2008" 32 2008 5.20060491493384 "Silale"
"Jurbarkas.2008" 33 2008 4.50592964824121 "Jurbarkas"
"Taurage.2008" 34 2008 5.07536927621861 "Taurage"
"Mazeikiai.2008" 35 2008 4.14514200298954 "Mazeikiai"
"Plunge.2008" 36 2008 4.99086118251928 "Plunge"
"Telsiai.2008" 37 2008 4.84286147777272 "Telsiai"
"Anyksciai.2008" 38 2008 4.65352283770651 "Anyksciai"
"Ignalina.2008" 39 2008 4.86523543495611 "Ignalina"
"Moletai.2008" 40 2008 4.71863770009801 "Moletai"
"Utena.2008" 41 2008 4.94535499178682 "Utena"
"Zarasai.2008" 42 2008 4.89306137315607 "Zarasai"
"Salcininkai.2008" 43 2008 4.5185628742515 "Salcininkai"
"Sirvintos.2008" 44 2008 5.03780578206079 "Sirvintos"
"Svencionys.2008" 45 2008 4.66932794340576 "Svencionys"
"Trakai.2008" 46 2008 4.62941176470588 "Trakai"
"Ukmerge.2008" 47 2008 4.86626842513576 "Ukmerge"
"Vilnius.2008" 48 2008 4.84221908376732 "Vilnius"
"Siauliai.2009" 1 2009 4.83578544949027 "Siauliai"
"Akmene.2009" 2 2009 4.69379749435202 "Akmene"
"Joniskis.2009" 3 2009 4.84974855652822 "Joniskis"
"Kelme.2009" 4 2009 5.02811688311688 "Kelme"
"Pakruojis.2009" 5 2009 4.68146150073566 "Pakruojis"
"Radviliskis.2009" 6 2009 4.77561665992721 "Radviliskis"
"Alytus.2009" 7 2009 4.76998073788709 "Alytus"
"Druskininkai.2009" 8 2009 3.62727272727273 "Druskininkai"
"Lazdijai.2009" 9 2009 4.55417585446527 "Lazdijai"
"Varena.2009" 10 2009 4.74723304754482 "Varena"
"Birstonas.2009" 11 2009 4.00375 "Birstonas"
"Jonava.2009" 12 2009 5.01238670694864 "Jonava"
"Kedainiai.2009" 13 2009 4.99009267719619 "Kedainiai"
"Kaisiadorys.2009" 14 2009 5.10914454277286 "Kaisiadorys"
"Kaunas.2009" 15 2009 4.8769755147468 "Kaunas"
"Prienai.2009" 16 2009 4.98162537537538 "Prienai"
"Raseiniai.2009" 17 2009 4.78759776536313 "Raseiniai"
"Silute.2009" 18 2009 4.9686724850712 "Silute"
"Klaipeda.2009" 19 2009 4.65023850085179 "Klaipeda"
"Kretinga.2009" 20 2009 4.78049263250495 "Kretinga"
"Neringa.2009" 21 2009 3.265 "Neringa"
"Palanga.2009" 22 2009 4.76866096866097 "Palanga"
"Skuodas.2009" 23 2009 4.58081725312145 "Skuodas"
"Sakiai.2009" 24 2009 5.16499930138326 "Sakiai"
"Marijampole.2009" 25 2009 4.97763122476447 "Marijampole"
"Vilkaviskis.2009" 26 2009 4.95084485407066 "Vilkaviskis"
"Birzai.2009" 27 2009 4.85415753324565 "Birzai"
"Kupiskis.2009" 28 2009 4.77388688327316 "Kupiskis"
"Panevezys.2009" 29 2009 4.92235212523531 "Panevezys"
"Pasvalys.2009" 30 2009 4.84318563276267 "Pasvalys"
"Rokiskis.2009" 31 2009 4.88149409903881 "Rokiskis"
"Silale.2009" 32 2009 5.59272211720227 "Silale"
"Jurbarkas.2009" 33 2009 4.99395549174444 "Jurbarkas"
"Taurage.2009" 34 2009 5.28762924667651 "Taurage"
"Mazeikiai.2009" 35 2009 4.48285287209054 "Mazeikiai"
"Plunge.2009" 36 2009 5.40332904884319 "Plunge"
"Telsiai.2009" 37 2009 5.0478986496738 "Telsiai"
"Anyksciai.2009" 38 2009 4.99154518950437 "Anyksciai"
"Ignalina.2009" 39 2009 4.96394253790902 "Ignalina"
"Moletai.2009" 40 2009 4.97151257758902 "Moletai"
"Utena.2009" 41 2009 5.14546450082132 "Utena"
"Zarasai.2009" 42 2009 5.16519759606629 "Zarasai"
"Salcininkai.2009" 43 2009 5.17741261662721 "Salcininkai"
"Sirvintos.2009" 44 2009 5.12517914504571 "Sirvintos"
"Svencionys.2009" 45 2009 4.98235219807984 "Svencionys"
"Trakai.2009" 46 2009 5.00264771096909 "Trakai"
"Ukmerge.2009" 47 2009 4.93728471683476 "Ukmerge"
"Vilnius.2009" 48 2009 5.11529702533322 "Vilnius"
"Siauliai.2010" 1 2010 5.4785797034291 "Siauliai"
"Akmene.2010" 2 2010 5.29016225097556 "Akmene"
"Joniskis.2010" 3 2010 5.66045818588191 "Joniskis"
"Kelme.2010" 4 2010 5.63616883116883 "Kelme"
"Pakruojis.2010" 5 2010 5.50940003269577 "Pakruojis"
"Radviliskis.2010" 6 2010 5.37058902817091 "Radviliskis"
"Alytus.2010" 7 2010 4.8377037037037 "Alytus"
"Druskininkai.2010" 8 2010 3.93295454545455 "Druskininkai"
"Lazdijai.2010" 9 2010 4.64636163175303 "Lazdijai"
"Varena.2010" 10 2010 4.91317225253313 "Varena"
"Birstonas.2010" 11 2010 4.19375 "Birstonas"
"Jonava.2010" 12 2010 5.35190520446097 "Jonava"
"Kedainiai.2010" 13 2010 5.53589609711526 "Kedainiai"
"Kaisiadorys.2010" 14 2010 5.42531342182891 "Kaisiadorys"
"Kaunas.2010" 15 2010 5.21229827490262 "Kaunas"
"Prienai.2010" 16 2010 5.12749624624625 "Prienai"
"Raseiniai.2010" 17 2010 5.42939944134078 "Raseiniai"
"Silute.2010" 18 2010 5.4416743224621 "Silute"
"Klaipeda.2010" 19 2010 5.20270868824532 "Klaipeda"
"Kretinga.2010" 20 2010 5.4299758082252 "Kretinga"
"Neringa.2010" 21 2010 3.55833333333333 "Neringa"
"Palanga.2010" 22 2010 5.14444444444444 "Palanga"
"Skuodas.2010" 23 2010 5.2616799091941 "Skuodas"
"Sakiai.2010" 24 2010 5.73029202179684 "Sakiai"
"Marijampole.2010" 25 2010 5.31865410497981 "Marijampole"
"Vilkaviskis.2010" 26 2010 5.46398702850316 "Vilkaviskis"
"Birzai.2010" 27 2010 5.24483413707438 "Birzai"
"Kupiskis.2010" 28 2010 5.08511833132772 "Kupiskis"
"Panevezys.2010" 29 2010 5.22778163083325 "Panevezys"
"Pasvalys.2010" 30 2010 5.37720711648204 "Pasvalys"
"Rokiskis.2010" 31 2010 5.16752646307337 "Rokiskis"
"Silale.2010" 32 2010 5.90886578449905 "Silale"
"Jurbarkas.2010" 33 2010 5.48435032304379 "Jurbarkas"
"Taurage.2010" 34 2010 5.74868906942393 "Taurage"
"Mazeikiai.2010" 35 2010 4.99310271193679 "Mazeikiai"
"Plunge.2010" 36 2010 5.7271173371032 "Plunge"
"Telsiai.2010" 37 2010 5.43325747231073 "Telsiai"
"Anyksciai.2010" 38 2010 5.24584548104956 "Anyksciai"
"Ignalina.2010" 39 2010 5.26631024577083 "Ignalina"
"Moletai.2010" 40 2010 5.45039202874877 "Moletai"
